X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y
2892.0,75.0,7.0,95.0,9.0,1889.0,228.0,228.0,133.0,2371.0,0.79,39.0,3,42,Apple
3208.0,0.0,9.0,124.0,-2.0,5394.0,206.0,222.0,154.0,900.0,0.97,-740.0,1,42,Apple
3245.0,97.63042568447042,3.0,564.0,66.0,4387.0,220.0,233.0,150.0,2650.0,0.55,4.0,1,42,Apple
3157.0,307.0,27.0,120.0,35.0,2971.0,138.0,213.0,211.0,2467.0,0.19,637.0,1,44,Apple
3246.0,18.0,9.0,120.0,11.0,4333.0,213.0,221.0,144.0,972.0,0.93,833.0,1,59,Apple
3262.0,27.0,12.0,577.0,186.0,779.0,215.0,214.0,134.0,895.0,0.89,98.0,1,42,Apple
3250.0,275.0,15.0,180.0,21.0,3206.0,178.0,242.0,203.0,1279.0,0.67,534.0,3,51,Apple
3065.0,292.0,11.0,323.0,36.0,3097.0,188.0,238.0,189.0,759.0,0.51,890.0,3,52,Apple
3107.0,176.0,7.0,30.0,-4.0,600.0,224.0,244.0,154.0,2014.0,0.64,-667.0,1,43,Apple
3001.0,57.0,18.0,180.0,28.0,4673.0,229.0,200.0,97.0,1864.0,0.31,-450.0,1,49,Apple
2978.0,347.0,38.0,218.0,105.0,277.0,123.0,152.0,149.0,2003.0,0.77,279.0,1,50,Apple
3064.0,194.0,10.0,30.0,4.0,3111.0,218.0,249.0,164.0,5721.0,0.4,273.0,1,40,Apple
2807.0,8.0,19.0,0.0,0.0,1507.0,194.0,198.0,137.0,2389.0,0.94,-657.0,3,40,Apple
3031.0,145.0,15.0,240.0,16.0,1753.0,240.0,236.0,121.0,1239.0,0.05,471.0,1,49,Apple
3148.0,27.0,11.0,446.0,40.0,2873.0,215.0,217.0,137.0,2704.0,1.0,-87.0,3,52,Apple
3030.0,342.0,9.0,268.0,58.0,2242.0,201.0,226.0,164.0,2598.0,0.57,2.0,3,43,Apple
3273.0,0.0,9.0,190.0,37.0,2135.0,206.0,222.0,154.0,2560.0,0.28,920.0,1,49,Apple
3067.0,133.0,11.0,242.0,43.0,3491.0,237.0,235.0,127.0,2771.0,0.75,-398.0,1,50,Apple
3154.0,54.0,15.0,361.0,67.0,5023.0,228.0,207.0,109.0,3302.0,0.97,370.0,1,50,Apple
3044.0,234.0,6.0,313.0,65.0,1753.0,210.0,246.0,173.0,1528.0,0.81,512.0,3,43,Apple
3132.0,52.0,9.0,60.0,-1.0,1892.0,225.0,221.0,130.0,408.0,0.25,-591.0,1,43,Apple
3177.0,62.0,4.0,0.0,0.0,2187.0,223.0,232.0,145.0,811.0,0.92,-906.0,1,43,Apple
3077.0,24.0,9.0,85.0,11.0,2255.0,215.0,220.0,141.0,2265.0,0.3,956.0,3,52,Apple
2932.0,339.0,24.0,60.0,14.0,384.0,161.0,198.0,171.0,2278.0,0.23,-104.0,1,49,Apple
3172.0,90.0,19.0,242.0,-36.0,1490.0,245.0,206.0,81.0,2316.0,0.67,-878.0,1,42,Apple
3116.0,130.0,22.0,30.0,-6.0,3544.0,249.0,222.0,89.0,2452.0,0.06,-539.0,1,49,Apple
3083.0,45.0,5.0,256.0,49.0,3776.0,221.0,229.0,143.0,2850.0,0.01,62.0,1,49,Apple
2955.0,25.0,15.0,210.0,34.0,2224.0,211.0,205.0,127.0,2131.0,0.34,975.0,3,42,Apple
2944.0,35.0,18.0,360.0,55.0,2379.0,215.0,197.0,112.0,1513.0,0.1,25.0,3,52,Apple
3164.0,0.0,13.0,242.0,46.0,3207.0,200.0,215.0,152.0,2451.0,0.85,-233.0,3,51,Apple
3248.0,108.04783228720376,10.0,742.0,84.0,2785.0,214.0,218.0,140.0,3326.0,0.53,-797.0,3,51,Apple
3113.0,343.0,6.0,42.0,2.0,1421.0,208.0,231.0,161.0,1300.0,1.0,455.0,2,43,Apple
2930.0,16.0,12.0,175.0,35.0,2064.0,209.0,214.0,140.0,3018.0,0.21,-909.0,3,53,Apple
3325.0,180.0,13.0,255.0,46.0,3834.0,224.0,248.0,153.0,1794.0,0.98,-184.0,3,58,Apple
3132.0,75.0,25.0,365.0,91.0,1316.0,241.0,185.0,60.0,1168.0,0.79,926.0,3,52,Apple
2991.0,49.0,13.0,85.0,0.0,6199.0,225.0,211.0,117.0,3613.0,0.86,-377.0,1,44,Apple
2850.0,153.0062745788783,6.0,295.0,58.0,4394.0,225.0,227.0,137.0,5239.0,0.8,548.0,1,49,Apple
3200.0,25.0,25.0,395.0,124.0,966.0,199.0,179.0,106.0,966.0,0.86,-491.0,1,42,Apple
3100.0,171.0,6.0,60.0,-3.0,598.0,224.0,243.0,153.0,1798.0,0.08,251.0,1,43,Apple
3385.0,222.0,28.0,674.0,262.0,3283.0,174.0,253.0,202.0,2801.0,0.83,622.0,1,59,Apple
3041.0,301.0,1.0,120.0,8.0,190.0,215.0,238.0,161.0,573.0,0.62,-49.0,2,42,Apple
3237.0,120.0,36.0,351.0,41.0,3127.0,253.0,185.0,26.0,2965.0,0.4,-79.0,1,59,Apple
3273.0,35.0,12.0,700.0,123.0,2385.0,219.0,214.0,129.0,2304.0,0.8,729.0,3,44,Apple
3267.0,332.0,11.0,379.0,39.0,1741.0,193.0,225.0,172.0,782.0,0.91,-269.0,3,51,Apple
3004.0,65.0,12.0,67.0,-8.0,2670.0,231.0,216.0,116.0,2232.0,0.1,-43.0,3,43,Apple
3145.0,54.0,11.0,516.0,64.0,1276.0,226.0,216.0,122.0,2565.0,0.12,787.0,3,52,Apple
3057.0,240.39337233951503,19.0,626.0,144.0,4435.0,217.0,196.0,107.0,3955.0,0.74,868.0,1,49,Apple
3272.0,341.0,21.0,297.0,51.0,2112.0,170.0,203.0,169.0,3124.0,0.3,607.0,1,59,Apple
3242.0,42.0,18.0,192.0,18.0,1565.0,220.0,198.0,107.0,2418.0,0.72,9.0,1,49,Apple
3181.0,323.0,5.0,537.0,70.0,1032.0,207.0,235.0,166.0,2307.0,0.97,795.0,3,51,Apple
3107.0,356.0,12.0,283.0,89.0,4855.0,201.0,219.0,155.0,2069.0,0.49,-240.0,1,49,Apple
2810.0,110.0,6.0,421.0,0.0,1871.0,230.0,234.0,138.0,2178.0,0.36,-427.0,1,32,Apple
3112.0,168.37062899724262,8.0,95.0,5.0,5346.0,202.0,228.0,165.0,664.0,0.82,-599.0,1,49,Apple
3371.0,219.0,6.0,969.0,169.0,2936.0,213.0,246.0,169.0,1302.0,0.57,-828.0,3,58,Apple
3326.0,192.69790027599808,10.0,124.0,21.0,3450.0,192.0,238.0,186.0,1932.0,0.46,-770.0,3,52,Apple
3117.0,293.0,7.0,67.0,4.0,1294.0,200.0,239.0,178.0,1398.0,0.8,440.0,2,44,Apple
3083.0,300.0,31.0,342.0,40.0,1739.0,121.0,211.0,222.0,3339.0,0.47,-822.0,1,49,Apple
3216.0,206.3877159851556,8.0,430.0,67.0,782.0,227.0,243.0,150.0,443.0,0.07,-350.0,3,52,Apple
3073.0,107.19755826648328,15.0,309.0,-34.0,1243.0,202.0,208.0,140.0,242.0,0.4,695.0,3,44,Apple
3077.0,123.0,5.0,30.0,-3.0,1959.0,228.0,236.0,142.0,2029.0,0.5,43.0,1,43,Apple
2952.0,55.0,13.0,470.0,0.0,2086.0,228.0,212.0,115.0,2940.0,0.91,-986.0,3,43,Apple
3060.0,79.0,12.0,30.0,1.0,2114.0,236.0,217.0,110.0,3515.0,0.34,628.0,3,44,Apple
2719.0,52.0,10.0,371.0,8.0,812.0,226.0,218.0,125.0,1935.0,0.03,-770.0,1,32,Apple
3061.0,313.0,10.0,60.0,18.0,162.0,192.0,232.0,180.0,474.0,0.13,293.0,2,42,Apple
3251.0,282.0,7.0,268.0,48.0,4494.0,201.0,241.0,179.0,661.0,0.01,-372.0,1,58,Apple
3009.0,131.0,10.0,67.0,8.0,2718.0,237.0,235.0,128.0,573.0,0.64,805.0,1,49,Apple
3015.0,78.0,15.0,240.0,-18.0,558.0,238.0,211.0,100.0,1064.0,0.91,-135.0,1,49,Apple
3231.0,187.1024508175849,4.0,648.0,59.0,4173.0,221.0,231.0,147.0,1921.0,0.32,-798.0,1,49,Apple
3074.0,52.0,9.0,42.0,4.0,3105.0,225.0,221.0,130.0,5353.0,0.17,905.0,1,49,Apple
3168.0,72.0,5.0,418.0,-6.0,3855.0,226.0,230.0,138.0,4394.0,0.2,347.0,1,43,Apple
2821.0,102.0,13.0,242.0,60.0,2134.0,241.0,223.0,110.0,3013.0,0.04,295.0,1,32,Apple
3025.0,307.0,9.0,90.0,14.0,3250.0,194.0,235.0,180.0,350.0,0.04,-911.0,1,49,Apple
3218.0,58.0,4.0,228.0,21.0,5379.0,223.0,230.0,143.0,1211.0,0.55,-952.0,1,49,Apple
3028.0,118.10382111136335,5.0,42.0,0.0,3167.0,225.0,230.0,140.0,2516.0,0.19,-110.0,3,43,Apple
2826.0,76.0,13.0,234.0,55.0,2174.0,236.0,216.0,109.0,2970.0,0.66,153.0,1,32,Apple
3527.0,104.0,17.0,938.0,242.0,2532.0,247.0,216.0,92.0,1092.0,0.75,153.0,1,60,Apple
3060.0,205.0,15.0,395.0,80.0,1627.0,210.0,252.0,174.0,3565.0,0.75,-252.0,1,42,Apple
2926.0,245.0,4.0,30.0,7.0,5180.0,212.0,243.0,169.0,3331.0,0.2,459.0,1,43,Apple
3084.0,179.33577802183652,5.0,90.0,-4.0,1458.0,228.0,238.0,144.0,3240.0,0.46,-881.0,3,43,Apple
3018.0,122.0,9.0,0.0,0.0,450.0,235.0,233.0,129.0,1084.0,0.65,-586.0,1,42,Apple
