X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y
2709.0,59.0,11.0,120.0,43.0,150.0,228.0,217.0,120.0,2114.0,0.66,269.0, FC11, CA49,Melon
2802.0,54.0,7.0,0.0,0.0,693.0,224.0,225.0,136.0,162.0,0.35,195.0, FC11, CA50,Melon
2325.0,28.0,12.0,0.0,0.0,1260.0,215.0,213.0,133.0,162.0,0.89,750.0, FC14, CA26,Carrot
2837.0,112.0,8.0,272.0,16.0,3649.0,235.0,231.0,128.0,6221.0,0.27,-155.0, FC11, CA32,Orange
2509.0,59.0,7.0,134.0,10.0,900.0,226.0,226.0,134.0,5184.0,0.93,88.0, FC11, CA38,Melon
2892.0,75.0,7.0,95.0,9.0,1889.0,228.0,228.0,133.0,2371.0,0.79,39.0, FC13, CA42,Apple
2848.0,222.12901299511807,15.0,819.0,91.0,2190.0,181.0,245.0,203.0,1717.0,0.98,-408.0, FC13, CA37,Melon
2380.0,130.0,27.0,228.0,139.0,300.0,252.0,212.0,69.0,1855.0,0.51,231.0, FC14, CA23,Carrot
3208.0,0.0,9.0,124.0,-2.0,5394.0,206.0,222.0,154.0,900.0,0.97,-740.0, FC11, CA42,Apple
2273.0,357.0,12.0,30.0,3.0,658.0,201.0,218.0,155.0,698.0,0.48,648.0, FC14, CA24,Berry
2104.0,134.0,15.0,0.0,0.0,1380.0,243.0,231.0,113.0,859.0,0.1,-826.0, FC14, CA21,Carrot
2866.0,317.0,11.0,153.0,-14.0,1668.0,190.0,230.0,180.0,1406.0,0.21,578.0, FC13, CA43,Melon
2741.0,63.0,31.0,108.0,-12.0,124.0,229.0,160.0,40.0,1504.0,0.55,695.0, FC11, CA50,Melon
2561.0,0.0,5.0,127.0,12.0,1556.0,213.0,231.0,156.0,1642.0,0.82,-214.0, FC13, CA22,Melon
2251.0,105.0,22.0,30.0,11.0,1505.0,251.0,207.0,72.0,351.0,0.01,716.0, FC14, CA23,Berry
2239.0,153.0,20.0,0.0,0.0,700.0,240.0,236.0,116.0,470.0,0.02,-903.0, FC14, CA24,Carrot
3245.0,97.63042568447042,3.0,564.0,66.0,4387.0,220.0,233.0,150.0,2650.0,0.55,4.0, FC11, CA42,Apple
2562.0,200.25954983561343,3.0,0.0,0.0,1116.0,221.0,233.0,148.0,5091.0,0.72,-643.0, FC11, CA36,Orange
2293.0,111.0,28.0,255.0,106.0,1032.0,254.0,197.0,50.0,1290.0,0.27,151.0, FC14, CA23,Carrot
2919.0,169.0,19.0,437.0,170.0,1802.0,231.0,244.0,136.0,977.0,0.55,-539.0, FC13, CA33,Melon
3157.0,307.0,27.0,120.0,35.0,2971.0,138.0,213.0,211.0,2467.0,0.19,637.0, FC11, CA44,Apple
2817.0,84.55791191894834,10.0,42.0,5.0,735.0,215.0,219.0,140.0,210.0,0.84,-505.0, FC11, CA50,Melon
3246.0,18.0,9.0,120.0,11.0,4333.0,213.0,221.0,144.0,972.0,0.93,833.0, FC11, CA59,Apple
2216.0,185.0,27.0,216.0,91.0,1158.0,214.0,247.0,149.0,566.0,0.59,86.0, FC14, CA23,Carrot
2669.0,144.0,15.0,285.0,35.0,2187.0,240.0,236.0,122.0,2474.0,0.53,-245.0, FC13, CA24,Berry
3262.0,27.0,12.0,577.0,186.0,779.0,215.0,214.0,134.0,895.0,0.89,98.0, FC11, CA42,Apple
2326.0,282.0,25.0,430.0,253.0,1437.0,144.0,232.0,224.0,1073.0,0.53,-944.0, FC14, CA30,Berry
2447.0,2.0,8.0,0.0,0.0,1095.0,209.0,225.0,154.0,1537.0,0.72,479.0, FC13, CA40,Mango
2298.0,129.0,21.0,255.0,115.0,1326.0,249.0,222.0,90.0,999.0,0.3,-855.0, FC14, CA23,Carrot
2311.0,167.0,18.0,361.0,130.0,1195.0,232.0,244.0,135.0,1168.0,0.61,727.0, FC14, CA26,Carrot
3250.0,275.0,15.0,180.0,21.0,3206.0,178.0,242.0,203.0,1279.0,0.67,534.0, FC13, CA51,Apple
3065.0,292.0,11.0,323.0,36.0,3097.0,188.0,238.0,189.0,759.0,0.51,890.0, FC13, CA52,Apple
2856.0,223.0,13.0,300.0,85.0,1012.0,203.0,252.0,183.0,1805.0,0.25,172.0, FC13, CA33,Melon
3107.0,176.0,7.0,30.0,-4.0,600.0,224.0,244.0,154.0,2014.0,0.64,-667.0, FC11, CA43,Apple
2704.0,72.6035754555165,9.0,127.0,13.0,153.0,224.0,220.0,130.0,872.0,0.3,170.0, FC13, CA31,Melon
3389.0,131.06300951910026,30.0,301.0,64.0,3665.0,137.0,186.0,179.0,3747.0,0.09,-635.0, FC11, CA59,Peach
2699.0,76.0,24.0,108.0,50.0,108.0,241.0,186.0,61.0,966.0,0.57,-628.0, FC11, CA50,Melon
3001.0,57.0,18.0,180.0,28.0,4673.0,229.0,200.0,97.0,1864.0,0.31,-450.0, FC11, CA49,Apple
2833.0,75.0,23.0,218.0,111.0,1883.0,241.0,189.0,66.0,716.0,0.61,-397.0, FC13, CA33,Melon
2111.0,111.0,6.0,0.0,0.0,1177.0,230.0,234.0,137.0,1307.0,0.83,199.0, FC14, CA37,Carrot
2193.0,38.0,24.0,0.0,0.0,1338.0,211.0,179.0,91.0,939.0,0.12,-386.0, FC14, CA37,Carrot
2634.0,200.0,6.0,60.0,-5.0,1140.0,218.0,245.0,163.0,780.0,0.38,-730.0, FC13, CA37,Berry
2978.0,347.0,38.0,218.0,105.0,277.0,123.0,152.0,149.0,2003.0,0.77,279.0, FC11, CA50,Apple
2317.0,75.0,24.0,277.0,75.0,1298.0,241.0,189.0,66.0,914.0,0.82,-377.0, FC14, CA30,Berry
2080.0,62.0,8.0,0.0,0.0,765.0,227.0,223.0,130.0,134.0,0.89,779.0, FC14, CA24,Carrot
2443.0,84.0,16.0,42.0,8.0,524.0,241.0,212.0,97.0,1718.0,0.39,232.0, FC14, CA26,Berry
3064.0,194.0,10.0,30.0,4.0,3111.0,218.0,249.0,164.0,5721.0,0.4,273.0, FC11, CA40,Apple
2702.0,71.0,22.0,108.0,55.0,120.0,238.0,190.0,71.0,1723.0,0.15,-905.0, FC11, CA50,Melon
2698.0,94.0,31.0,90.0,52.0,90.0,251.0,178.0,32.0,2466.0,0.14,-363.0, FC11, CA50,Melon
2044.0,92.0,15.0,30.0,8.0,480.0,242.0,215.0,98.0,658.0,0.88,-693.0, FC14, CA21,Carrot
3202.0,4.0,12.0,60.0,11.0,3550.0,204.0,216.0,149.0,3349.0,0.84,-196.0, FC11, CA43,Peach
3193.0,78.0,8.0,67.0,4.0,3722.0,231.0,226.0,128.0,3130.0,0.77,-401.0, FC11, CA43,Peach
2566.0,77.0,5.0,268.0,20.0,1292.0,227.0,230.0,138.0,1383.0,0.89,-802.0, FC13, CA22,Melon
2729.0,307.0,12.0,67.0,1.0,1899.0,186.0,233.0,186.0,659.0,0.74,560.0, FC13, CA51,Melon
2807.0,8.0,19.0,0.0,0.0,1507.0,194.0,198.0,137.0,2389.0,0.94,-657.0, FC13, CA40,Apple
2916.0,105.0,13.0,268.0,89.0,5618.0,242.0,223.0,108.0,4417.0,0.94,-272.0, FC11, CA49,Orange
2048.0,284.0,4.0,30.0,2.0,792.0,209.0,240.0,169.0,636.0,0.88,-86.0, FC14, CA37,Carrot
2094.0,99.0,29.0,85.0,41.0,495.0,252.0,185.0,40.0,175.0,0.82,79.0, FC14, CA23,Carrot
3073.0,173.0,12.0,108.0,-3.0,6836.0,227.0,246.0,149.0,2735.0,0.33,154.0, FC11, CA49,Orange
